SessionID,TurnIndex,CharacterName,PlayerResponse,ResponseLength,ResponseTime,AIResponseText,AIResponseLength,EngagementRatio,LabelType,LabelSource,SourceFile
P09,1,Gertrude,I saw my father last night,26,1004.051,"What do you mean, Hamlet? His spirit again appeared to you?",59,0.4406779661016949,B,H,Hamlet_fine_P09.csv
P09,2,Gertrude,yes. in my dream,16,1011.685,Your grief is tormenting you into ghastly shadows—such visions are but the illusions of a troubled mind.,104,0.15384615384615385,B,H,Hamlet_fine_P09.csv
P09,3,Gertrude,I don't think it's illusion at all. What is the truth of death?,63,1053.073,"The truth is shrouded, and perhaps it’s best we let the dead rest in peace.",75,0.84,B,H,Hamlet_fine_P09.csv
P09,4,Gertrude,No I cannot agree.,18,1087.093,"There are mysteries that can unsettle the living, would you stir them and risk your soul, Hamlet?",97,0.18556701030927836,B,H,Hamlet_fine_P09.csv
P09,5,Gertrude,I can take the risk,19,1123.03,"Then, if you must, tread with caution—to summon the dead seems a dangerous venture.",83,0.2289156626506024,B,H,Hamlet_fine_P09.csv
P09,6,Gertrude,okay,4,1143.266,"Your mind is clouded by grief. Promise me, Hamlet, do not pursue this further.",78,0.05128205128205128,B,H,Hamlet_fine_P09.csv
P09,7,Gertrude,I'm not sure,12,1164.234,"Oh, Hamlet—do not be rash. Your mother's heart cannot bear more sorrow.",71,0.16901408450704225,B,H,Hamlet_fine_P09.csv
P09,8,ChoiceButton,“O my prophetic soul! My uncle—guilty. Now is the time for vengeance.”,70,1188.937,Gertrude 비활성화,13,5.384615384615385,B,H,Hamlet_fine_P09.csv
P09,9,Claudius,You murderer!,13,1199.521,"Hamlet, what words are these? Why do you look at me so?",55,0.23636363636363636,B,H,Hamlet_fine_P09.csv
P09,10,Claudius,"You killed my father, right?",28,1212.522,"No, enough of this—there is madness in your gaze, boy!",54,0.5185185185185185,B,H,Hamlet_fine_P09.csv
P09,11,Claudius,My father told me that you are a criminal,41,1267.428,"Stop these lies! Hamlet, who are you, and why do you speak so wildly?",69,0.5942028985507246,B,H,Hamlet_fine_P09.csv
P09,12,Claudius,"I am the king of Denmark, and I'm serious now",45,1291.297,"Leave me be, whoever you claim to be. I cannot endure this mockery anymore!",75,0.6,B,H,Hamlet_fine_P09.csv
P09,13,Claudius,I'm not joking. Tell me the truth,33,1320.417,"This jest has grown stale, Hamlet. Enough.",42,0.7857142857142857,B,H,Hamlet_fine_P09.csv
P09,14,Claudius,I do not say that again. tell me the truth,42,1376.306,"I am your stepfather, Claudius, not a king or a criminal.ascal",62,0.6774193548387096,B,H,Hamlet_fine_P09.csv
P09,15,Claudius,then let me see evidence,24,1399.941,"Evidence? Have you lost all reason, child? Look within your heart, and you will know the truth.",95,0.25263157894736843,B,H,Hamlet_fine_P09.csv
P09,16,ChoiceButton,“The time is out of joint—now must I set it right. My father waits.”,68,1428.728, 비활성화,5,13.6,B,H,Hamlet_fine_P09.csv
